date,number of issues active in past 90 days,number of issues not active in past 90 days,total number of issues,percentage of issues active in past 90 days
2021-05-18,229,318,547,41.9
2021-05-28,251,277,528,47.5
2021-06-11,260,283,543,47.9
2021-06-16,261,286,547,47.7
2021-06-23,297,266,563,52.8
2021-06-24,297,267,564,52.7
2021-06-25,295,268,563,52.4
2021-06-26,294,268,562,52.3
2021-06-27,292,265,557,52.4
2021-06-28,290,265,555,52.3
2021-06-29,290,267,557,52.1
2021-06-30,289,267,556,52.0
2021-07-01,294,265,559,52.6
2021-07-02,290,264,554,52.3
2021-07-03,287,263,550,52.2
2021-07-04,283,263,546,51.8
2021-07-05,282,250,532,53.0
2021-07-06,281,252,533,52.7
2021-07-07,284,252,536,53.0
2021-07-08,277,253,530,52.3
2021-07-09,282,254,536,52.6
2021-07-10,271,253,524,51.7
2021-07-11,273,254,527,51.8
2021-07-12,272,255,527,51.6
2021-07-13,271,255,526,51.5
2021-07-14,271,256,527,51.4
2021-07-15,277,256,533,52.0
2021-07-16,276,257,533,51.8
2021-07-17,283,249,532,53.2
2021-07-18,286,246,532,53.8
2021-07-19,284,250,534,53.2
2021-07-20,282,254,536,52.6
2021-07-21,281,253,534,52.6
2021-07-22,283,253,536,52.8
2021-07-23,281,253,534,52.6
2021-07-24,279,254,533,52.3
2021-07-25,279,254,533,52.3
2021-07-26,271,264,535,50.7
2021-07-27,272,266,538,50.6
2021-07-28,247,293,540,45.7
2021-07-29,242,296,538,45.0
2021-07-30,241,298,539,44.7
2021-07-31,242,298,540,44.8
2021-08-01,243,298,541,44.9
2021-08-02,249,296,545,45.7
