date,number of issues active in past 90 days,number of issues not active in past 90 days,total number of issues,percentage of issues active in past 90 days
2021-05-18,229,318,547,41.9
2021-05-28,251,277,528,47.5
2021-06-11,260,283,543,47.9
2021-06-16,261,286,547,47.7
2021-06-23,297,266,563,52.8
2021-06-24,297,267,564,52.7
2021-06-25,295,268,563,52.4
2021-06-26,294,268,562,52.3
2021-06-27,292,265,557,52.4
2021-06-28,290,265,555,52.3
2021-06-29,290,267,557,52.1
2021-06-30,289,267,556,52.0
2021-07-01,294,265,559,52.6
2021-07-02,290,264,554,52.3
2021-07-03,287,263,550,52.2
2021-07-04,283,263,546,51.8
2021-07-05,282,250,532,53.0
2021-07-06,281,252,533,52.7
2021-07-07,284,252,536,53.0
2021-07-08,277,253,530,52.3
2021-07-09,282,254,536,52.6
2021-07-10,271,253,524,51.7
2021-07-11,273,254,527,51.8
2021-07-12,272,255,527,51.6
2021-07-13,271,255,526,51.5
2021-07-14,271,256,527,51.4
2021-07-15,277,256,533,52.0
2021-07-16,276,257,533,51.8
2021-07-17,283,249,532,53.2
2021-07-18,286,246,532,53.8
2021-07-19,284,250,534,53.2
2021-07-20,282,254,536,52.6
2021-07-21,281,253,534,52.6
2021-07-22,283,253,536,52.8
2021-07-23,281,253,534,52.6
2021-07-24,279,254,533,52.3
2021-07-25,279,254,533,52.3
2021-07-26,271,264,535,50.7
2021-07-27,272,266,538,50.6
2021-07-28,247,293,540,45.7
2021-07-29,242,296,538,45.0
2021-07-30,241,298,539,44.7
2021-07-31,242,298,540,44.8
2021-08-01,243,298,541,44.9
2021-08-02,249,296,545,45.7
2021-08-03,248,296,544,45.6
2021-08-04,243,292,535,45.4
2021-08-05,245,295,540,45.4
2021-08-06,245,296,541,45.3
2021-08-07,244,295,539,45.3
2021-08-08,244,295,539,45.3
2021-08-09,241,297,538,44.8
2021-08-10,240,297,537,44.7
2021-08-11,228,298,526,43.3
2021-08-12,228,301,529,43.1
2021-08-13,229,301,530,43.2
2021-08-14,238,301,539,44.2
2021-08-15,238,301,539,44.2
2021-08-16,232,305,537,43.2
2021-08-17,231,304,535,43.2
2021-08-19,220,308,528,41.7
2021-08-20,205,324,529,38.8
2021-08-21,210,323,533,39.4
2021-08-22,212,323,535,39.6
2021-08-23,208,323,531,39.2
2021-08-24,206,325,531,38.8
2021-08-25,204,324,528,38.6
2021-08-26,206,324,530,38.9
2021-08-27,205,326,531,38.6
2021-08-28,201,326,527,38.1
2021-08-29,200,328,528,37.9
2021-08-30,198,328,526,37.6
2021-08-31,202,332,534,37.8
2021-09-01,205,332,537,38.2
2021-09-02,200,332,532,37.6
2021-09-03,192,331,523,36.7
2021-09-04,182,330,512,35.5
2021-09-05,181,331,512,35.4
2021-09-06,180,331,511,35.2
2021-09-07,184,330,514,35.8
2021-09-08,182,328,510,35.7
2021-09-09,182,330,512,35.5
2021-09-10,184,331,515,35.7
2021-09-11,185,331,516,35.9
2021-09-12,184,332,516,35.7
2021-09-13,180,332,512,35.2
2021-09-14,184,332,516,35.7
2021-09-15,192,311,503,38.2
2021-09-16,194,309,503,38.6
2021-09-17,193,304,497,38.8
2021-09-18,193,299,492,39.2
2021-09-19,190,298,488,38.9
2021-09-20,188,301,489,38.4
2021-09-21,182,290,472,38.6
2021-09-22,185,282,467,39.6
2021-09-23,189,281,470,40.2
2021-09-24,201,281,482,41.7
2021-09-25,201,280,481,41.8
2021-09-26,205,280,485,42.3
2021-09-27,206,282,488,42.2
2021-09-28,208,282,490,42.4
2021-09-29,203,283,486,41.8
2021-09-30,204,282,486,42.0
2021-10-01,205,281,486,42.2
2021-10-02,207,279,486,42.6
2021-10-03,208,279,487,42.7
2021-10-04,207,278,485,42.7
2021-10-05,199,272,471,42.3
2021-10-06,204,272,476,42.9
2021-10-07,207,270,477,43.4
2021-10-08,206,270,476,43.3
2021-10-09,209,269,478,43.7
2021-10-10,212,269,481,44.1
2021-10-11,205,270,475,43.2
2021-10-12,201,272,473,42.5
2021-10-13,210,270,480,43.8
2021-10-14,207,270,477,43.4
2021-10-15,208,270,478,43.5
2021-10-16,209,272,481,43.5
2021-10-17,213,272,485,43.9
2021-10-18,207,277,484,42.8
2021-10-19,205,277,482,42.5
2021-10-20,204,277,481,42.4
2021-10-21,205,278,483,42.4
2021-10-22,217,278,495,43.8
2021-10-23,221,278,499,44.3
2021-10-24,224,278,502,44.6
2021-10-25,225,277,502,44.8
2021-10-26,222,279,501,44.3
2021-10-27,226,280,506,44.7
2021-10-28,223,281,504,44.2
2021-10-29,219,282,501,43.7
2021-10-30,222,282,504,44.0
2021-10-31,214,292,506,42.3
2021-11-01,211,289,500,42.2
2021-11-02,212,289,501,42.3
2021-11-03,209,289,498,42.0
2021-11-04,216,289,505,42.8
2021-11-05,219,289,508,43.1
2021-11-06,222,289,511,43.4
2021-11-07,222,290,512,43.4
2021-11-08,224,290,514,43.6
2021-11-09,213,292,505,42.2
2021-11-10,215,292,507,42.4
2021-11-11,214,293,507,42.2
2021-11-12,215,294,509,42.2
2021-11-13,219,294,513,42.7
2021-11-14,219,294,513,42.7
2021-11-15,218,295,513,42.5
2021-11-16,216,297,513,42.1
2021-11-17,217,297,514,42.2
2021-11-18,221,297,518,42.7
2021-11-19,222,295,517,42.9
2021-11-20,224,295,519,43.2
2021-11-21,225,295,520,43.3
2021-11-22,227,296,523,43.4
2021-11-23,224,298,522,42.9
2021-11-24,227,300,527,43.1
2021-11-25,225,300,525,42.9
2021-11-26,226,303,529,42.7
2021-11-27,226,304,530,42.6
2021-11-28,225,305,530,42.5
2021-11-29,226,306,532,42.5
2021-11-30,222,308,530,41.9
2021-12-01,226,311,537,42.1
2021-12-02,222,311,533,41.7
2021-12-03,219,311,530,41.3
2021-12-04,224,310,534,41.9
2021-12-05,221,313,534,41.4
2021-12-06,220,315,535,41.1
2021-12-07,216,317,533,40.5
2021-12-08,217,318,535,40.6
2021-12-09,217,318,535,40.6
2021-12-10,222,316,538,41.3
2021-12-11,233,314,547,42.6
2021-12-12,230,314,544,42.3
2021-12-13,229,315,544,42.1
2021-12-14,217,326,543,40.0
2021-12-15,213,326,539,39.5
2021-12-16,207,326,533,38.8
2021-12-17,203,331,534,38.0
2021-12-18,204,330,534,38.2
2021-12-19,203,330,533,38.1
2021-12-20,204,329,533,38.3
2021-12-21,201,336,537,37.4
2021-12-22,198,339,537,36.9
2021-12-23,197,341,538,36.6
2021-12-24,197,344,541,36.4
2021-12-25,197,344,541,36.4
2021-12-26,197,344,541,36.4
2021-12-28,194,346,540,35.9
2021-12-29,193,347,540,35.7
2021-12-30,191,349,540,35.4
2021-12-31,190,351,541,35.1
2022-01-01,190,352,542,35.1
2022-01-02,188,351,539,34.9
2022-01-03,172,352,524,32.8
2022-01-04,173,351,524,33.0
2022-01-05,177,351,528,33.5
2022-01-06,175,352,527,33.2
2022-01-07,172,352,524,32.8
2022-01-08,172,349,521,33.0
2022-01-09,170,353,523,32.5
2022-01-10,170,354,524,32.4
2022-01-11,163,354,517,31.5
2022-01-12,164,355,519,31.6
2022-01-13,158,357,515,30.7
2022-01-14,157,360,517,30.4
2022-01-15,159,360,519,30.6
2022-01-16,165,359,524,31.5
2022-01-17,161,364,525,30.7
2022-01-18,157,359,516,30.4
2022-01-19,149,362,511,29.2
2022-01-20,141,366,507,27.8
2022-01-21,144,367,511,28.2
2022-01-22,146,368,514,28.4
2022-01-23,153,368,521,29.4
2022-01-24,151,370,521,29.0
2022-01-25,152,370,522,29.1
2022-01-26,155,370,525,29.5
2022-01-27,160,370,530,30.2
2022-01-28,159,370,529,30.1
2022-01-29,157,371,528,29.7
2022-01-30,166,370,536,31.0
2022-01-31,153,370,523,29.3
2022-02-01,154,369,523,29.4
2022-02-02,157,370,527,29.8
2022-02-03,154,371,525,29.3
2022-02-04,155,373,528,29.4
2022-02-05,153,372,525,29.1
2022-02-06,152,372,524,29.0
2022-02-07,150,375,525,28.6
2022-02-08,151,377,528,28.6
2022-02-09,148,381,529,28.0
2022-02-10,153,381,534,28.7
2022-02-11,152,380,532,28.6
2022-02-12,145,381,526,27.6
2022-02-13,148,381,529,28.0
2022-02-14,144,385,529,27.2
2022-02-15,145,386,531,27.3
2022-02-16,148,386,534,27.7
2022-02-17,141,389,530,26.6
2022-02-18,140,387,527,26.6
2022-02-19,145,387,532,27.3
2022-02-20,144,387,531,27.1
2022-02-21,146,388,534,27.3
2022-02-22,147,388,535,27.5
2022-02-23,149,389,538,27.7
2022-02-24,143,389,532,26.9
2022-02-25,143,390,533,26.8
2022-02-26,144,390,534,27.0
2022-02-27,144,390,534,27.0
2022-02-28,146,390,536,27.2
2022-03-01,147,390,537,27.4
2022-03-02,160,391,551,29.0
2022-03-03,153,391,544,28.1
2022-03-04,154,385,539,28.6
2022-03-05,156,383,539,28.9
2022-03-06,157,381,538,29.2
2022-03-07,155,383,538,28.8
2022-03-08,190,363,553,34.4
2022-03-09,190,361,551,34.5
2022-03-10,191,362,553,34.5
2022-03-11,190,362,552,34.4
2022-03-12,180,361,541,33.3
2022-03-13,177,361,538,32.9
2022-03-14,171,365,536,31.9
2022-03-15,166,364,530,31.3
2022-03-16,162,364,526,30.8
2022-03-17,156,363,519,30.1
2022-03-18,160,364,524,30.5
2022-03-19,154,364,518,29.7
2022-03-20,155,363,518,29.9
2022-03-21,153,363,516,29.7
2022-03-22,157,362,519,30.3
2022-03-23,161,361,522,30.8
2022-03-24,162,357,519,31.2
2022-03-25,168,358,526,31.9
2022-03-26,177,356,533,33.2
2022-03-27,181,356,537,33.7
2022-03-28,183,357,540,33.9
2022-03-29,182,357,539,33.8
2022-03-30,181,357,538,33.6
2022-03-31,179,356,535,33.5
2022-04-01,182,356,538,33.8
2022-04-02,189,352,541,34.9
2022-04-03,192,353,545,35.2
2022-04-04,202,353,555,36.4
2022-04-05,193,360,553,34.9
2022-04-06,185,363,548,33.8
2022-04-07,182,363,545,33.4
2022-04-08,195,363,558,34.9
2022-04-09,198,363,561,35.3
2022-04-10,198,363,561,35.3
2022-04-11,196,364,560,35.0
2022-04-12,194,362,556,34.9
2022-04-13,194,363,557,34.8
2022-04-14,192,363,555,34.6
2022-04-15,203,362,565,35.9
2022-04-16,192,364,556,34.5
2022-04-17,194,363,557,34.8
2022-04-18,193,363,556,34.7
2022-04-19,192,365,557,34.5
2022-04-20,197,367,564,34.9
2022-04-21,193,367,560,34.5
2022-04-22,190,366,556,34.2
2022-04-23,188,364,552,34.1
2022-04-24,188,363,551,34.1
2022-04-25,186,365,551,33.8
2022-04-26,180,363,543,33.1
2022-04-27,182,362,544,33.5
2022-04-28,180,363,543,33.1
2022-04-29,177,361,538,32.9
2022-04-30,187,361,548,34.1
2022-05-01,187,360,547,34.2
2022-05-02,198,361,559,35.4
2022-05-03,189,361,550,34.4
2022-05-04,188,362,550,34.2
2022-05-05,182,363,545,33.4
2022-05-06,185,365,550,33.6
2022-05-07,186,366,552,33.7
2022-05-08,184,369,553,33.3
2022-05-09,185,369,554,33.4
2022-05-10,183,369,552,33.2
2022-05-11,191,368,559,34.2
2022-05-12,190,368,558,34.1
2022-05-13,192,369,561,34.2
2022-05-14,200,369,569,35.1
2022-05-15,190,370,560,33.9
2022-05-16,190,371,561,33.9
2022-05-17,193,371,564,34.2
2022-05-18,189,371,560,33.8
2022-05-19,200,370,570,35.1
2022-05-20,193,372,565,34.2
2022-05-21,197,371,568,34.7
2022-05-22,194,371,565,34.3
2022-05-23,193,371,564,34.2
2022-05-24,197,371,568,34.7
2022-05-25,188,371,559,33.6
2022-05-26,199,361,560,35.5
2022-05-27,181,359,540,33.5
2022-05-28,190,358,548,34.7
2022-05-29,188,357,545,34.5
2022-05-30,190,357,547,34.7
2022-05-31,194,355,549,35.3
2022-06-01,212,357,569,37.3
2022-06-02,217,361,578,37.5
2022-06-03,212,361,573,37.0
2022-06-04,211,361,572,36.9
2022-06-05,214,360,574,37.3
2022-06-06,214,360,574,37.3
2022-06-07,213,362,575,37.0
2022-06-08,215,362,577,37.3
2022-06-09,222,365,587,37.8
2022-06-10,222,366,588,37.8
2022-06-11,222,366,588,37.8
2022-06-12,221,366,587,37.6
2022-06-13,220,369,589,37.4
2022-06-14,198,371,569,34.8
2022-06-15,202,371,573,35.3
2022-06-16,201,371,572,35.1
2022-06-17,205,371,576,35.6
2022-06-18,209,370,579,36.1
2022-06-19,214,367,581,36.8
2022-06-20,216,367,583,37.0
2022-06-21,215,369,584,36.8
2022-06-22,208,370,578,36.0
2022-06-23,212,369,581,36.5
2022-06-24,214,370,584,36.6
2022-06-25,215,370,585,36.8
2022-06-26,212,373,585,36.2
2022-06-27,214,372,586,36.5
2022-06-28,220,372,592,37.2
2022-06-29,215,374,589,36.5
2022-06-30,212,373,585,36.2
2022-07-01,212,376,588,36.1
2022-07-02,212,376,588,36.1
2022-07-03,213,375,588,36.2
2022-07-04,216,376,592,36.5
2022-07-05,213,377,590,36.1
2022-07-06,216,375,591,36.5
2022-07-07,211,377,588,35.9
2022-07-08,216,377,593,36.4
2022-07-09,217,376,593,36.6
2022-07-10,213,377,590,36.1
2022-07-11,215,378,593,36.3
2022-07-12,214,379,593,36.1
2022-07-13,216,377,593,36.4
2022-07-14,217,378,595,36.5
2022-07-15,202,381,583,34.6
2022-07-16,203,379,582,34.9
2022-07-17,206,379,585,35.2
2022-07-18,207,379,586,35.3
2022-07-19,211,379,590,35.8
2022-07-20,211,376,587,35.9
2022-07-21,214,375,589,36.3
2022-07-22,218,376,594,36.7
2022-07-23,211,377,588,35.9
2022-07-24,217,376,593,36.6
2022-07-25,220,377,597,36.9
2022-07-26,217,377,594,36.5
2022-07-27,215,381,596,36.1
2022-07-28,208,381,589,35.3
2022-07-29,209,378,587,35.6
2022-07-30,211,378,589,35.8
2022-07-31,210,379,589,35.7
2022-08-01,204,379,583,35.0
2022-08-02,208,380,588,35.4
2022-08-03,213,382,595,35.8
2022-08-04,215,383,598,36.0
2022-08-05,218,384,602,36.2
2022-08-06,222,384,606,36.6
2022-08-07,224,383,607,36.9
2022-08-08,224,383,607,36.9
2022-08-09,224,385,609,36.8
2022-08-10,225,384,609,36.9
2022-08-11,230,384,614,37.5
2022-08-13,234,378,612,38.2
2022-08-14,234,378,612,38.2
2022-08-15,234,379,613,38.2
2022-08-16,237,381,618,38.3
2022-08-17,227,382,609,37.3
2022-08-18,223,382,605,36.9
2022-08-19,223,382,605,36.9
2022-08-20,223,382,605,36.9
2022-08-21,222,384,606,36.6
2022-08-22,220,385,605,36.4
2022-08-23,218,389,607,35.9
2022-08-24,211,399,610,34.6
2022-08-25,211,400,611,34.5
2022-08-26,212,402,614,34.5
2022-08-27,213,403,616,34.6
2022-08-28,213,403,616,34.6
2022-08-29,210,403,613,34.3
2022-08-30,202,404,606,33.3
2022-08-31,206,403,609,33.8
2022-09-01,202,407,609,33.2
2022-09-02,207,407,614,33.7
2022-09-03,210,407,617,34.0
2022-09-04,221,407,628,35.2
2022-09-05,219,409,628,34.9
2022-09-06,221,410,631,35.0
2022-09-07,230,409,639,36.0
2022-09-08,221,412,633,34.9
2022-09-09,222,412,634,35.0
2022-09-10,223,411,634,35.2
2022-09-11,217,413,630,34.4
2022-09-12,218,414,632,34.5
2022-09-13,218,413,631,34.5
2022-09-14,210,413,623,33.7
2022-09-15,212,414,626,33.9
2022-09-16,200,418,618,32.4
2022-09-17,193,423,616,31.3
2022-09-18,192,425,617,31.1
2022-09-19,192,426,618,31.1
2022-09-20,185,425,610,30.3
2022-09-21,195,424,619,31.5
2022-09-22,184,426,610,30.2
2022-09-23,182,424,606,30.0
2022-09-24,175,424,599,29.2
2022-09-25,172,425,597,28.8
2022-09-26,182,419,601,30.3
2022-09-27,185,420,605,30.6
2022-09-28,175,420,595,29.4
2022-09-29,183,421,604,30.3
2022-09-30,191,413,604,31.6
2022-10-01,187,412,599,31.2
2022-10-02,187,412,599,31.2
2022-10-03,188,412,600,31.3
2022-10-04,190,414,604,31.5
2022-10-05,178,413,591,30.1
2022-10-06,160,413,573,27.9
2022-10-07,156,412,568,27.5
2022-10-08,157,413,570,27.5
2022-10-09,161,412,573,28.1
2022-10-10,161,412,573,28.1
2022-10-11,145,414,559,25.9
2022-10-12,146,417,563,25.9
2022-10-13,141,416,557,25.3
2022-10-14,141,412,553,25.5
2022-10-15,141,412,553,25.5
2022-10-16,141,412,553,25.5
2022-10-17,141,412,553,25.5
2022-10-18,141,413,554,25.5
2022-10-19,145,415,560,25.9
2022-10-20,148,415,563,26.3
2022-10-21,149,415,564,26.4
2022-10-22,151,415,566,26.7
2022-10-23,162,415,577,28.1
2022-10-24,158,416,574,27.5
2022-10-25,167,416,583,28.6
2022-10-26,174,416,590,29.5
2022-10-27,186,414,600,31.0
2022-10-28,192,414,606,31.7
2022-10-29,187,418,605,30.9
2022-10-30,186,419,605,30.7
2022-10-31,190,421,611,31.1
2022-11-01,170,421,591,28.8
2022-11-02,168,421,589,28.5
2022-11-03,167,420,587,28.4
2022-11-04,170,420,590,28.8
2022-11-05,173,420,593,29.2
2022-11-06,170,425,595,28.6
2022-11-07,169,425,594,28.5
2022-11-08,163,426,589,27.7
2022-11-09,192,402,594,32.3
2022-11-10,206,398,604,34.1
2022-11-11,198,395,593,33.4
2022-11-12,206,395,601,34.3
2022-11-13,206,395,601,34.3
2022-11-14,208,397,605,34.4
2022-11-15,225,398,623,36.1
2022-11-16,224,400,624,35.9
2022-11-17,223,402,625,35.7
2022-11-18,224,405,629,35.6
2022-11-19,222,407,629,35.3
2022-11-20,220,407,627,35.1
2022-11-21,223,407,630,35.4
2022-11-22,221,409,630,35.1
2022-11-23,219,412,631,34.7
2022-11-24,221,412,633,34.9
2022-11-25,225,410,635,35.4
2022-11-26,227,410,637,35.6
2022-11-27,229,410,639,35.8
2022-11-28,227,410,637,35.6
2022-11-29,232,410,642,36.1
2022-11-30,234,410,644,36.3
2022-12-01,236,410,646,36.5
2022-12-02,243,408,651,37.3
2022-12-03,235,408,643,36.5
2022-12-04,234,410,644,36.3
2022-12-05,236,410,646,36.5
2022-12-06,235,410,645,36.4
2022-12-07,238,412,650,36.6
2022-12-08,238,413,651,36.6
2022-12-09,229,412,641,35.7
2022-12-10,230,412,642,35.8
2022-12-11,230,412,642,35.8
2022-12-12,234,410,644,36.3
2022-12-13,229,412,641,35.7
2022-12-14,231,412,643,35.9
2022-12-15,229,413,642,35.7
2022-12-16,268,408,676,39.6
2022-12-17,259,408,667,38.8
2022-12-18,272,408,680,40.0
2022-12-19,265,409,674,39.3
2022-12-20,263,404,667,39.4
2022-12-21,259,405,664,39.0
2022-12-22,258,404,662,39.0
2022-12-23,244,399,643,37.9
2022-12-24,244,399,643,37.9
2022-12-25,258,400,658,39.2
2022-12-26,268,399,667,40.2
2022-12-27,270,399,669,40.4
2022-12-28,261,399,660,39.5
2022-12-29,252,406,658,38.3
2022-12-30,254,409,663,38.3
2022-12-31,252,411,663,38.0
2023-01-01,251,412,663,37.9
2023-01-02,261,412,673,38.8
2023-01-03,263,412,675,39.0
2023-01-04,263,412,675,39.0
2023-01-05,255,413,668,38.2
2023-01-06,256,414,670,38.2
2023-01-07,256,413,669,38.3
2023-01-08,257,413,670,38.4
2023-01-09,251,414,665,37.7
2023-01-10,255,413,668,38.2
2023-01-11,252,414,666,37.8
2023-01-12,255,414,669,38.1
2023-01-13,254,414,668,38.0
2023-01-14,259,414,673,38.5
2023-01-15,265,414,679,39.0
2023-01-16,260,414,674,38.6
2023-01-17,268,413,681,39.4
2023-01-18,272,414,686,39.7
2023-01-19,273,416,689,39.6
2023-01-20,278,416,694,40.1
2023-01-21,277,416,693,40.0
2023-01-22,282,412,694,40.6
2023-01-23,281,412,693,40.5
2023-01-24,279,412,691,40.4
2023-01-25,280,413,693,40.4
2023-01-26,278,411,689,40.3
2023-01-27,281,411,692,40.6
2023-01-29,278,411,689,40.3
2023-01-30,278,411,689,40.3
2023-01-31,282,411,693,40.7
2023-02-01,278,412,690,40.3
2023-02-02,283,412,695,40.7
2023-02-03,285,412,697,40.9
2023-02-04,288,412,700,41.1
2023-02-05,288,410,698,41.3
2023-02-06,286,412,698,41.0
2023-02-07,266,432,698,38.1
2023-02-08,264,434,698,37.8
2023-02-09,256,440,696,36.8
2023-02-10,249,445,694,35.9
2023-02-11,251,446,697,36.0
2023-02-12,245,448,693,35.4
2023-02-13,245,450,695,35.3
2023-02-14,245,450,695,35.3
2023-02-15,245,451,696,35.2
2023-02-16,246,451,697,35.3
2023-02-17,243,451,694,35.0
2023-02-18,243,451,694,35.0
2023-02-19,241,454,695,34.7
2023-02-20,240,456,696,34.5
2023-02-21,242,456,698,34.7
2023-02-22,242,456,698,34.7
2023-02-23,242,460,702,34.5
2023-02-24,243,460,703,34.6
2023-02-25,246,460,706,34.8
2023-02-26,248,459,707,35.1
2023-02-27,250,459,709,35.3
2023-02-28,260,459,719,36.2
2023-03-01,257,461,718,35.8
2023-03-02,256,462,718,35.7
2023-03-03,255,464,719,35.5
2023-03-04,255,465,720,35.4
2023-03-05,259,464,723,35.8
2023-03-06,256,465,721,35.5
2023-03-07,254,465,719,35.3
2023-03-08,257,464,721,35.6
2023-03-09,250,465,715,35.0
2023-03-10,250,465,715,35.0
2023-03-11,252,464,716,35.2
2023-03-12,251,465,716,35.1
2023-03-13,254,465,719,35.3
2023-03-14,258,467,725,35.6
2023-03-15,256,468,724,35.4
2023-03-16,263,470,733,35.9
2023-03-17,253,471,724,34.9
2023-03-18,242,472,714,33.9
2023-03-19,245,473,718,34.1
2023-03-20,240,474,714,33.6
2023-03-21,248,473,721,34.4
2023-03-22,249,473,722,34.5
2023-03-23,248,477,725,34.2
2023-03-24,246,480,726,33.9
2023-03-25,260,479,739,35.2
2023-03-26,253,480,733,34.5
2023-03-27,247,480,727,34.0
2023-03-28,247,482,729,33.9
2023-03-29,248,485,733,33.8
2023-03-30,249,486,735,33.9
2023-03-31,248,486,734,33.8
2023-04-01,243,485,728,33.4
2023-04-02,247,485,732,33.7
2023-04-03,248,485,733,33.8
2023-04-04,239,488,727,32.9
2023-04-05,243,488,731,33.2
2023-04-06,234,492,726,32.2
2023-04-07,242,499,741,32.7
2023-04-08,236,499,735,32.1
2023-04-09,236,499,735,32.1
2023-04-10,238,499,737,32.3
2023-04-11,242,500,742,32.6
2023-04-12,240,503,743,32.3
2023-04-13,233,509,742,31.4
2023-04-14,231,509,740,31.2
2023-04-15,259,476,735,35.2
2023-04-16,259,477,736,35.2
2023-04-17,259,476,735,35.2
2023-04-18,261,477,738,35.4
2023-04-19,266,475,741,35.9
2023-04-20,265,479,744,35.6
2023-04-21,267,479,746,35.8
2023-04-22,265,480,745,35.6
2023-04-23,264,483,747,35.3
2023-04-24,254,483,737,34.5
2023-04-25,256,484,740,34.6
2023-04-26,256,485,741,34.5
2023-04-27,261,485,746,35.0
2023-04-28,266,485,751,35.4
2023-04-29,260,484,744,34.9
2023-04-30,252,484,736,34.2
2023-05-01,250,486,736,34.0
2023-05-02,250,487,737,33.9
2023-05-03,252,488,740,34.1
2023-05-04,252,488,740,34.1
2023-05-05,250,491,741,33.7
2023-05-06,253,492,745,34.0
2023-05-07,254,493,747,34.0
2023-05-08,250,494,744,33.6
2023-05-09,251,494,745,33.7
2023-05-10,250,494,744,33.6
2023-05-11,251,494,745,33.7
2023-05-12,256,494,750,34.1
2023-05-13,252,495,747,33.7
2023-05-14,249,497,746,33.4
2023-05-15,246,498,744,33.1
2023-05-16,246,498,744,33.1
2023-05-17,249,499,748,33.3
2023-05-18,254,500,754,33.7
2023-05-19,252,501,753,33.5
2023-05-20,260,501,761,34.2
2023-05-21,263,501,764,34.4
2023-05-22,259,505,764,33.9
2023-05-23,259,506,765,33.9
2023-05-24,260,506,766,33.9
2023-05-25,261,507,768,34.0
2023-05-26,262,508,770,34.0
2023-05-27,258,508,766,33.7
2023-05-28,261,508,769,33.9
2023-05-29,262,508,770,34.0
2023-05-30,262,510,772,33.9
2023-05-31,262,511,773,33.9
2023-06-01,269,511,780,34.5
2023-06-02,268,512,780,34.4
2023-06-03,253,510,763,33.2
2023-06-04,253,510,763,33.2
2023-06-05,252,510,762,33.1
2023-06-06,252,511,763,33.0
2023-06-07,254,512,766,33.2
2023-06-08,252,512,764,33.0
2023-06-09,253,512,765,33.1
2023-06-10,256,511,767,33.4
2023-06-11,254,512,766,33.2
2023-06-12,249,518,767,32.5
2023-06-13,250,518,768,32.6
2023-06-14,243,526,769,31.6
2023-06-15,242,528,770,31.4
2023-06-16,242,528,770,31.4
2023-06-17,246,528,774,31.8
2023-06-18,248,528,776,32.0
2023-06-19,244,531,775,31.5
2023-06-20,253,523,776,32.6
2023-06-21,251,525,776,32.3
2023-06-22,250,529,779,32.1
2023-06-23,250,526,776,32.2
2023-06-24,250,527,777,32.2
2023-06-25,252,527,779,32.3
2023-06-26,253,527,780,32.4
2023-06-27,256,527,783,32.7
2023-06-28,259,528,787,32.9
2023-06-29,265,529,794,33.4
2023-06-30,265,530,795,33.3
2023-07-01,263,531,794,33.1
